       Instance   Obj_Value     Obj_1     Obj_2      OBj_3  RelativeGap%      Status     CPUtime	Processing_Order    Vehicle_Routes
  1_8_4_2.0_1.0      9600.4      2256      3608     3736.4             0     Optimal     1116.19	3-4-2-7-8-6-5-1    | 4-2-3 | 7-8-6 | 5-1 |
  2_8_4_2.0_1.0        9829      2946      2880       4003    0.00855892     Optimal     1105.93	3-2-5-1-4-6-8-7    | 2-3-5 | 1- | 8-6-4 | 7- |
  3_8_4_2.0_1.0        9169      2224      3696       3249    0.00817654     Optimal      1898.3	8-1-2-7-4-6-5-3    | 8-1 | 2-7 | 6-4 | 3-5 |
  4_8_4_2.0_1.0      9728.1      2788      2696     4244.1    0.00354029     Optimal     1128.71	7-6-2-1-4-3-8-5    | 7-6-2 | 1-4-3 | 5-8 |
  5_8_4_2.0_1.0     11811.1      2511      4984     4316.1    0.00931327     Optimal      1886.3	7-8-4-2-3-6-5-1    | 7-8 | 4-3-2 | 5-6 | 1- |
  1_8_4_2.0_1.5      7746.2      2496      3016     2234.2    0.00903669     Optimal     1499.12	6-3-4-1-5-2-7-8    | 6-3 | 4-1 | 2-5 | 7-8 |
  2_8_4_2.0_1.5      7790.5      2961      2312     2517.5    0.00682151     Optimal     931.335	6-8-1-4-5-7-3-2    | 8-6 | 5- | 7-1-4 | 2-3 |
  3_8_4_2.0_1.5      9610.5      2469      3096     4045.5      0.008112     Optimal     1700.96	3-6-4-7-5-1-2-8    | 6-4-3-7 | 5- | 1-8-2 |
  4_8_4_2.0_1.5      4736.3      2267      1888      581.3    0.00646401     Optimal     155.761	5-4-1-6-7-8-2-3    | 4-5-1 | 7-6 | 8-2 | 3- |
  5_8_4_2.0_1.5      8006.3      2664      3688     1654.3    0.00544797     Optimal     1550.61	7-1-2-5-8-4-6-3    | 2-1 | 5-7 | 8-4 | 3-6 |
  1_8_4_2.0_2.0     10001.6      2562      3528     3911.6    0.00201161     Optimal     1264.84	4-1-2-8-7-5-3-6    | 2-1-4-8 | 3-7-5 | 6- |
  2_8_4_2.0_2.0      8486.9      2578      3032     2876.9    0.00502384     Optimal     1473.52	8-5-2-4-6-3-1-7    | 5-8 | 2-6-4 | 1-7-3 |
  3_8_4_2.0_2.0      8310.6      2381      2232     3697.6    0.00349673     Optimal     868.526	7-3-6-4-5-2-8-1    | 3-7-6 | 4-5-2 | 1-8 |
  4_8_4_2.0_2.0      7341.1      2633      2936     1772.1             0     Optimal     414.633	8-7-5-3-4-6-2-1    | 8-7 | 5-3-4 | 6-2 | 1- |
  5_8_4_2.0_2.0        8867      2952      2952       2963             0     Optimal     588.771	2-3-8-7-5-4-6-1    | 2-3 | 7-8-5 | 6-1-4 |
  1_8_4_2.0_2.5      8489.3      2137      3392     2960.3             0     Optimal      325.01	3-4-2-7-5-1-6-8    | 3-4-2 | 7-5-1 | 8-6 |
  2_8_4_2.0_2.5      6652.9      2591      1520     2541.9     0.0078913     Optimal     657.725	1-3-4-5-6-8-7-2    | 3-1 | 6-4-5 | 8- | 2-7 |
  3_8_4_2.0_2.5      7128.9      2298      2096     2734.9             0     Optimal     1184.42	8-2-3-5-1-4-6-7    | 8-2-3 | 4-1-5 | 6-7 |
  4_8_4_2.0_2.5      8161.8      2246      2888     3027.8    0.00308583     Optimal     696.773	6-4-3-5-2-1-7-8    | 3-4-6 | 2-1-5 | 7-8 |
  5_8_4_2.0_2.5      9432.4      2089      3112     4231.4    0.00340845     Optimal     1661.67	4-1-8-3-7-5-6-2    | 4-1 | 3-8-7 | 6-5-2 |
  1_8_5_1.0_0.5      8772.1      3803      3448     1521.1     0.0053199     Optimal     309.219	2-3-7-6-8-1-4-5    | 3-7-2 | 8-6 | 1-4 | 5- |
  2_8_5_1.0_0.5      8623.2      2896      3200     2527.2    0.00837987     Optimal     1038.04	7-5-3-1-4-2-8-6    | 7-3-5 | 1-4 | 2- | 8-6 |
  3_8_5_1.0_0.5      7695.7      3386      1936     2373.7    0.00601899     Optimal     1142.03	3-4-1-8-5-2-6-7    | 4-3 | 1- | 2-5-8 | 7-6 |
  4_8_5_1.0_0.5       10629      3405      3536       3688       33.1262    Feasible     3611.43	7-6-4-2-5-8-3-1    | 6-7 | 5-4-2 | 3-8 | 1- |
  5_8_5_1.0_0.5      8481.8      2686      2536     3259.8     0.0079765     Optimal     1178.68	8-6-2-3-1-5-7-4    | 6-2-8 | 3-1 | 4-7-5 |
  1_8_5_1.0_1.0     12836.5      3060      4544     5232.5    0.00925135     Optimal     981.133	7-8-3-4-5-2-1-6    | 3-8-7 | 4-5 | 2-1 | 6- |
  2_8_5_1.0_1.0      9760.2      4133      2728     2899.2    0.00834613     Optimal     743.439	7-6-8-5-2-4-1-3    | 7- | 6-8 | 5-2 | 4-1 | 3- |
